Graph,Machine,Algorithm,TimeToCompute(ms),BspCost,CommCost,Supersteps,WorkCost,avg_wavefront_size,num_edges,num_vertices
bnetflix.psdd,p16_g4_l20,GreedyRecomputerMask7,6710,3446,1724,9,1722,730.476190,40736,15340
bnetflix.psdd,p16_g4_l20,GreedyRecomputerMask2,2919,3680,1976,9,1704,730.476190,40736,15340
bnetflix.psdd,p16_g4_l20,GreedyRecomputerMask4,4286,4116,3132,13,984,730.476190,40736,15340
bnetflix.psdd,p16_g4_l20,GreedyBspHC,1894,4492,3508,13,984,730.476190,40736,15340
cr52.psdd,p16_g4_l20,GreedyRecomputerMask0,3281,5482,4044,14,1438,543.780488,46968,22295
cr52.psdd,p16_g4_l20,GreedyRecomputerMask1,4967,4476,2716,14,1760,543.780488,46968,22295
cr52.psdd,p16_g4_l20,GreedyRecomputerMask3,5830,4440,2672,13,1768,543.780488,46968,22295
cr52.psdd,p16_g4_l20,GreedyRecomputerMask7,10379,4440,2672,13,1768,543.780488,46968,22295
cr52.psdd,p16_g4_l20,GreedyRecomputerMask2,4283,4605,2140,12,2465,543.780488,46968,22295
cr52.psdd,p16_g4_l20,GreedyRecomputerMask4,6518,5482,4044,14,1438,543.780488,46968,22295
cr52.psdd,p16_g4_l20,GreedyBspHC,2946,5862,4424,14,1438,543.780488,46968,22295
bcsstk23,p16_g4_l20,GreedyRecomputerMask0,712,5738,3704,76,2034,25.274194,21022,3134
bcsstk23,p16_g4_l20,GreedyRecomputerMask1,752,5730,3696,76,2034,25.274194,21022,3134
bcsstk23,p16_g4_l20,GreedyRecomputerMask3,965,5648,3540,71,2108,25.274194,21022,3134
bcsstk23,p16_g4_l20,GreedyRecomputerMask7,1927,5648,3540,71,2108,25.274194,21022,3134
bcsstk23,p16_g4_l20,GreedyRecomputerMask2,947,5672,3620,73,2052,25.274194,21022,3134
bcsstk23,p16_g4_l20,GreedyRecomputerMask4,1019,5738,3704,76,2034,25.274194,21022,3134
bcsstk23,p16_g4_l20,GreedyBspHC,611,6694,4660,76,2034,25.274194,21022,3134
instance_kNN_N70_K7_nzP0d16,p16_g4_l20,GreedyRecomputerMask0,1159,2826,1980,13,846,373.428571,11991,5228
instance_kNN_N70_K7_nzP0d16,p16_g4_l20,GreedyRecomputerMask1,1306,2473,1540,12,933,373.428571,11991,5228
instance_kNN_N70_K7_nzP0d16,p16_g4_l20,GreedyRecomputerMask3,1448,2473,1540,12,933,373.428571,11991,5228
instance_kNN_N70_K7_nzP0d16,p16_g4_l20,GreedyRecomputerMask7,2163,2473,1540,12,933,373.428571,11991,5228
instance_kNN_N70_K7_nzP0d16,p16_g4_l20,GreedyRecomputerMask2,1463,2736,1776,10,960,373.428571,11991,5228
instance_kNN_N70_K7_nzP0d16,p16_g4_l20,GreedyRecomputerMask4,1854,2826,1980,13,846,373.428571,11991,5228
instance_kNN_N70_K7_nzP0d16,p16_g4_l20,GreedyBspHC,1063,3102,2256,13,846,373.428571,11991,5228
exp-D15-N1000-C4.psdd,p16_g4_l20,GreedyRecomputerMask0,3,88,80,4,8,7.500000,28,30
exp-D15-N1000-C4.psdd,p16_g4_l20,GreedyRecomputerMask1,4,65,56,3,9,7.500000,28,30
exp-D15-N1000-C4.psdd,p16_g4_l20,GreedyRecomputerMask3,4,29,0,1,29,7.500000,28,30
exp-D15-N1000-C4.psdd,p16_g4_l20,GreedyRecomputerMask7,8,29,0,1,29,7.500000,28,30
exp-D15-N1000-C4.psdd,p16_g4_l20,GreedyRecomputerMask2,4,29,0,1,29,7.500000,28,30
exp-D15-N1000-C4.psdd,p16_g4_l20,GreedyRecomputerMask4,5,88,80,4,8,7.500000,28,30
